243,"Hummus, commercial"
31,"Tomatoes, grape, raw"
24,"Beans, snap, green, canned, regular pack, drained solids"
310,"Frankfurter, beef, unheated"
667,"Nuts, almonds, dry roasted, with salt added"
43,"Kale, raw"
146,"Egg, whole, raw, frozen, pasteurized"
45,"Egg, white, raw, frozen, pasteurized"
350,"Egg, white, dried"
325,"Sausage, breakfast sausage, beef, pre-cooked, unprepared"
293,"Onion rings, breaded, par fried, frozen, prepared, heated in oven"
14,"Pickles, cucumber, dill or kosher dill"
639,"Peanut butter, smooth style, with salt"
420,"Cheese, parmesan, grated"
368,"Cheese, pasteurized process, American, vitamin D fortified"
39,"Grapefruit juice, white, canned or bottled, unsweetened"
46,"Peaches, yellow, raw"
657,"Seeds, sunflower seed kernels, dry roasted, with salt added"
267,"Bread, white, commercially prepared"
44,"Kale, frozen, cooked, boiled, drained, without salt"
69,"Mustard, prepared, yellow"
64,"Kiwifruit, green, raw"
43,"Nectarines, raw"
409,"Cheese, cheddar"
82,"Cheese, cottage, lowfat, 2% milkfat"
296,"Cheese, mozzarella, low moisture, part-skim"
558,"Egg, whole, dried"
291,"Egg, yolk, raw, frozen, pasteurized"
641,"Egg, yolk, dried"
59,"Yogurt, Greek, plain, nonfat"
82,"Yogurt, Greek, strawberry, nonfat"
895,"Oil, coconut"
149,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised"
158,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"
51,"Sauce, pasta, spaghetti/marinara, ready-to-serve"
101,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)"
141,"Olives, green, Manzanilla, stuffed with pimiento"
430,"Cookies, oatmeal, soft, with raisins"
21,"Tomatoes, canned, red, ripe, diced"
69,"Fish, haddock, raw"
53,"Fish, pollock, raw"
85,"Fish, tuna, light, canned in water, drained solids"
174,"Restaurant, Chinese, fried rice, without meat"
174,"Restaurant, Latino, tamale, pork"
229,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)"
254,"Bread, whole-wheat, commercially prepared"
168,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted"
149,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw"
116,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
116,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
139,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw"
212,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled"
39,"Carrots, frozen, unprepared"
325,"Cheese, dry white, queso seco"
158,"Cheese, ricotta, whole milk"
393,"Cheese, swiss"
277,"Figs, dried, uncooked"
20,"Lettuce, cos or romaine, raw"
38,"Melons, cantaloupe, raw"
52,"Oranges, raw, navels"
43,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
63,"Pears, raw, bartlett"
260,"Restaurant, Chinese, sweet and sour pork"
0,"Salt, table, iodized"
34,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
34,"Sauce, salsa, ready-to-serve"
50,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
341,"Sausage, breakfast sausage, beef, pre-cooked, unprepared"
317,"Sausage, Italian, pork, mild, cooked, pan-fried"
61,"Milk, whole, 3.25% milkfat, with added vitamin D"
164,"Sausage, turkey, breakfast links, mild, raw"
401,"Sugars, granulated"
213,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles"
121,"Ham, sliced, restaurant"
375,"Cheese, American, restaurant"
39,"Broccoli, raw"
35,"Strawberries, raw"
117,"Ketchup, restaurant"
52,"Eggs, Grade A, Large, egg white"
328,"Eggs, Grade A, Large, egg yolk"
143,"Eggs, Grade A, Large, egg whole"
501,"Pork, cured, bacon, cooked, restaurant"
366,"Flour, wheat, all-purpose, enriched, bleached"
359,"Flour, wheat, all-purpose, enriched, unbleached"
362,"Flour, wheat, all-purpose, unenriched, unbleached"
370,"Flour, whole wheat, unenriched"
363,"Flour, bread, white, enriched, unbleached"
359,"Flour, rice, white, unenriched"
364,"Flour, corn, yellow, fine meal, enriched"
44,"Onions, red, raw"
38,"Onions, yellow, raw"
143,"Garlic, raw"
366,"Flour, soy, defatted"
452,"Flour, soy, full-fat"
365,"Flour, rice, brown"
358,"Flour, rice, glutinous"
359,"Flour, pastry, unenriched, unbleached"
36,"Onions, white, raw"
85,"Bananas, overripe, raw"
98,"Bananas, ripe and slightly ripe, raw"
62,"Apples, red delicious, with skin, raw"
60,"Apples, honeycrisp, with skin, raw"
59,"Apples, granny smith, with skin, raw"
61,"Apples, gala, with skin, raw"
65,"Apples, fuji, with skin, raw"
38.485,"Soy milk, unsweetened, plain, shelf stable"
14.5562,"Almond milk, unsweetened, plain, shelf stable"
61.7893,"Apples, red delicious, with skin, raw"
64.6609,"Apples, fuji, with skin, raw"
60.9536,"Apples, gala, with skin, raw"
58.8719,"Apples, granny smith, with skin, raw"
60.034,"Apples, honeycrisp, with skin, raw"
42.6655,"Mushroom, lion's mane"
41.0475,"Mushroom, oyster"
44.095,"Mushrooms, shiitake"
31.2172,"Mushrooms, white button"
26.602,"Spinach, baby"
27.63,"Spinach, mature"
21.9574,"Tomato, roma"
42.6655,"Mushroom, lion's mane"
41.0475,"Mushroom, oyster"
44.095,"Mushrooms, shiitake"
31.2172,"Mushrooms, white button"
38.485,"Soy milk, unsweetened, plain, shelf stable"
14.5562,"Almond milk, unsweetened, plain, shelf stable"
26.602,"Spinach, baby"
27.63,"Spinach, mature"
21.9574,"Tomato, roma"
357.0648,"Flour, 00"
363.679,"Flour, spelt, whole grain"
356.5918,"Flour, semolina, coarse and semi-coarse"
357.81,"Flour, semolina, fine"
48.3763,"Apple juice, with added vitamin C, from concentrate, shelf stable"
47.225,"Orange juice, no pulp, not fortified, from concentrate, refrigerated"
66.1099,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable"
66.135,"Grape juice, white, with added vitamin C, from concentrate, shelf stable"
32.0925,"Cranberry juice, not fortified, from concentrate, shelf stable"
41.0921,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated"
23.3075,"Tomato juice, with added ingredients, from concentrate, shelf stable"
46.5063,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated"
32.4385,"Mushroom, portabella"
46.3951,"Mushroom, king oyster"
44.4382,"Mushroom, enoki"
30.2035,"Mushroom, crimini"
37.615,"Mushroom, maitake"
39.8018,"Mushroom, beech"
39.2148,"Mushroom, pioppini"
40.705,"Soy milk, sweetened, plain, refrigerated"
19.33,"Almond milk, unsweetened, plain, refrigerated"
48.3298,"Oat milk, unsweetened, plain, refrigerated"
47.9906,"Carrots, mature, raw"
40.7723,"Carrots, baby, raw"
22.9291,"Peppers, bell, green, raw"
30.7743,"Peppers, bell, yellow, raw"
31.3256,"Peppers, bell, red, raw"
31.7404,"Peppers, bell, orange, raw"
42.835,"Buttermilk, low fat"
77.9524,"Yogurt, plain, whole milk"
93.6776,"Yogurt, Greek, plain, whole milk"
403.384,"Cheese, parmesan, grated, refrigerated"
272.884,"Cheese, feta, whole milk, crumbled"
622.042,"Flour, almond"
389.125,"Flour, oat, whole grain"
360.7805,"Flour, potato"
631.65,"Peanut butter, creamy"
697.1376,"Sesame butter, creamy"
645.456,"Almond butter, creamy"
545.084,"Flaxseed, ground"
36.4,"Strawberries, raw"
57.3375,"Raspberries, raw"
63.8563,"Blueberries, raw"
85.919,"Grapes, red, seedless, raw"
80.1025,"Grapes, green, seedless, raw"
51.6025,"Applesauce, unsweetened, with added vitamin C"
102.921,"Cottage cheese, full fat, large or small curd"
342.794,"Cream cheese, full fat, block"
343.31,"Cream, heavy"
196.4148,"Cream, sour, full fat"
17.10875,"Lettuce, iceberg, raw"
20.77105,"Lettuce, romaine, green, raw"
17.5315,"Lettuce, leaf, red, raw"
22.0463,"Lettuce, leaf, green, raw"
688.614,"Nuts, pine nuts, raw"
